Sl. No.,Name of the Ministry,Total Tenders Evaluated,Non-Compliant Tenders Found,Compliance Report received as on 31-01-2025
1,Ministry of Health and Family Welfare,189,48,3
2,Ministry of Education,88,38,11
3,Ministry of Home Affairs,41,30,1
4,Ministry of Petroleum and Natural Gas,50,20,2
5,Department of Atomic Energy,97,16,6
6,Ministry of Jal Shakti,23,13,0
7,Ministry of Civil Aviation,14,13,0
8,Ministry of Heavy Industries,56,12,1
9,Ministry of Communications,12,9,1
10,"Ministry of Ports, Shipping and Waterways",21,8,3
11,Ministry of Railways,28,6,6
12,Ministry of Defence,8,5,2
13,Ministry of Coal,30,5,1
14,Ministry of Road Transport and Highways,78,4,0
15,Ministry of Science and Technology,14,4,3
16,Ministry of Agriculture and Farmers Welfare,6,4,0
17,Ministry of Housing and Urban Affairs,6,3,2
18,Ministry of Youth Affairs and Sports,5,3,0
19,Ministry of Culture,5,3,0
20,Ministry of Electronics and Information Technology,7,3,0
21,Ministry of Power,25,2,0
22,Ministry of Chemicals and Fertilizers,15,2,0
23,Ministry of Steel,13,2,1
24,Ministry of Ayush,2,2,0
25,Ministry of Earth Sciences,2,1,0
26,Ministry of Mines,2,1,0
27,Ministry of Labour and Employment,1,1,0
28,Ministry of Social Justice and Empowerment,1,1,0
29,Ministry of Skill Development and Entrepreneurship,4,0,0
30,Ministry of Finance,4,0,0
31,Ministry of Textiles,5,0,0
32,"Ministry of Consumer Affairs, Food and Public Distribution",12,0,0
33,Department of Space,1,0,0
34,"Ministry of Micro, Small and Medium Enterprises",1,0,0
35,Ministry of Commerce and Industry,1,0,0
Total,Total,867,259,43
